artefact_id,type,slug,artefact_name,,,,,,,
526196f7c0c715e815004284,person,tim-organ,Tim Organ,person,team,Tim Organ,,,,,
526196f8c0c715e81500428a,person,roger-hampson,Roger Hampson,person,team,Roger Hampson,,,,,
526196f8c0c715e81500428d,person,sam-pikesley,Sam Pikesley,person,team,Sam Pikesley,,,,,
526196f8c0c715e815004290,person,tom-heath,Tom Heath,person,team,Tom Heath,,,,,
526196f8c0c715e815004293,person,james-smith,James Smith,person,team,James Smith,,,,,
526196f8c0c715e815004296,person,stuart-harrison,Stuart Harrison,person,team,Stuart Harrison,,,,,
526196f8c0c715e815004299,person,ulrich-atz,Ulrich Atz,person,team,Ulrich Atz,,,,,
526196f8c0c715e8150042a2,person,phil-lang,Phil Lang,person,team,Phil Lang,,,,,
526196f8c0c715e8150042a5,person,semiconductor,Semiconductor,person,writers,Semiconductor,,,,,
526196f8c0c715e8150042a8,person,ben-garrod,Ben Garrod,person,writers,Ben Garrod,,,,,
526196f8c0c715e8150042ab,person,benedikt-gro-bertrand-clerc,Benedikt GroÃ & Bertrand Clerc,person,writers,Benedikt GroÃ & Bertrand Clerc,,,,,
526196f8c0c715e8150042ae,person,ellie-harrison,Ellie Harrison,person,writers,Ellie Harrison,,,,,
526196f8c0c715e8150042b1,person,fabio-lattanzi-antinori,Fabio Lattanzi Antinori,person,writers,Fabio Lattanzi Antinori,,,,,
526196f8c0c715e8150042b4,person,la-soci-t-anonyme,La SociÃ©tÃ© Anonyme,person,writers,La SociÃ©tÃ© Anonyme,,,,,
526196f8c0c715e8150042b7,person,martin-john-callanan,Martin John Callanan,person,writers,Martin John Callanan,,,,,
526196f8c0c715e8150042ba,person,phil-archer,Phil Archer,person,writers,Phil Archer,,,,,
526196f8c0c715e8150042bd,person,stanza,Stanza,person,writers,Stanza,,,,,
526196f8c0c715e8150042c0,creative_work,20hz-2011,20Hz (2011),data as culture,art,,,,,,
526196f8c0c715e8150042c3,creative_work,still-lifes-and-oscillators-1-2012,Still Lifes and Oscillators 1 (2012),data as culture,art,,,,,,
526196f8c0c715e8150042c6,creative_work,metrography-2012,Metrography (2012),data as culture,art,,,,,,
526196f8c0c715e8150042c9,creative_work,vending-machine-2009,Vending Machine (2009),data as culture,art,crisps,,,,,
526196f8c0c715e8150042cc,creative_work,obelisk-2012,The Obelisk (2012),data as culture,art,,,,,,
526196f8c0c715e8150042cf,creative_work,skor-codex-2012,The SKOR Codex (2012),data as culture,art,,,,,,
526196f8c0c715e8150042d2,creative_work,text-trends-2012,Text Trends (2012),data as culture,art,,,,,,
526196f8c0c715e8150042d5,creative_work,three-flames-ate-sun-and-big-stars-were-seen-2012,"Three flames ate the sun, and big stars were seen (2012)",data as culture,art,,,,,,
526196f8c0c715e8150042d8,creative_work,body-01000010011011110110010001111001-2012,Body 01000010011011110110010001111001 (2012),data as culture,art,,,,,,
526196f8c0c715e8150042df,article,vision,Vision,ODI,vision,,,,,,
526196f8c0c715e8150042e3,article,acceptable-use-policy,Acceptable Use Policy,ODI,policies,,,,,,
526196f8c0c715e8150042e5,article,cookie-policy,Cookie Policy,ODI,policies,,,,,,
526196f8c0c715e8150042e9,article,terms-of-use,Terms of Use,ODI,policies,,,,,,
526196f8c0c715e8150042eb,article,odi-website-launched,Open Data Institute Website Launched,news,launch,odi,,,,,
526196f8c0c715e8150042ed,article,pg-certificate,Postgraduate Certificate,postgraduate certificate,courses,,,,,,
526196f8c0c715e8150042f1,article,open-data-institute,The Open Data Institute,ODI,,,,,,,
526196f8c0c715e8150042f3,article,ceo-gavin-starks,The Open Data Institute appoints digital visionary and leading open data developer to top jobs,news,ceo,odi,team,,,,
526196f8c0c715e8150042f5,article,odi-top-jobs,Press Release: The Open Data Institute appoints digital visionary and leading open data developer to top jobs,news,press release,ceo,team,,,,
526196f8c0c715e8150042f7,article,joining-odi,On joining the ODI,blog,ceo,odi,team,,,,
526196f8c0c715e8150042f9,article,four-challenges-open-data,Four Challenges for Open Data,blog,challenges,open data,,,,,
526196f8c0c715e8150042fb,article,register-interest,Register your interest in the Postgraduate Certificate,courses,postgraduate certificate,,,,,,
526196f8c0c715e8150042fd,article,open-data-institute-appoints-stuart-coleman-commercial-director,Open Data Institute appoints Stuart Coleman as Commercial Director,news,odi,team,,,,,
526196f8c0c715e8150042ff,article,register,Open Data Hack Days - Registration,events,hackathons,,,,,,
526196f8c0c715e815004301,article,odi-moves-head-quarters,ODI Moves in to Head-quarters,news,odi,space,,,,,
526196f8c0c715e815004303,article,happy-birthday-ogp,Happy Birthday OGP,blog,open government partnership,government,,,,,
526196f8c0c715e815004305,article,odi-embraces-data-culture-art-commission,The ODI embraces data-as-culture with art commission,data as culture,art,,,,,,
526196f8c0c715e815004307,article,odi-responds-postcode-data-consultation,ODI Responds to Postcode Data Consultation,news,open addresses,linked data,postcode address file,geo data,,,
526196f8c0c715e815004309,article,guest-blog-odi-s-first-incubator-business-pioneering-open-data,Guest Blog: The ODIâs first incubator business on pioneering open data,blog,business,mastodon c,start-ups,,,,
526196f8c0c715e81500430b,article,new-industrialists-part-1-open-data-enabling-new-primary-industry-or-speeding-existing-one,The New Industrialists (Part 1): Open Data - Enabling a new primary industry or speeding up the existing one?,blog,business,open data,,,,,
526196f8c0c715e81500430d,article,guest-blog-increasing-supply-public-sector-open-data,Guest Blog: Increasing the supply of public sector open data,blog,public sector,,,,,,
526196f8c0c715e81500430f,article,healthy-start-hackathons-odi,A healthy start for Hackathons at the ODI,blog,events,hackathons,health,,,,
526196f8c0c715e815004311,article,game-set-and-match-how-small-problem-led-winning-idea-hack4health,"Game, set and match - how a small problem led to a winning idea at Hack4Health",blog,events,hackathons,health,,,,
526196f8c0c715e815004313,article,odi-takes-inspiration-lambeth-students-city-mash,The ODI takes inspiration from Lambeth students at city mash-up,blog,education,hackathons,,,,,
526196f8c0c715e815004315,article,dunraven-students-reflect-open-data-opportunities,Dunraven Students Reflect on Open Data Opportunities,blog,education,hackathons,,,,,
526196f8c0c715e815004317,article,guest-blog-open-and-linked-data-recipe-refreshed-public-services-and-better-businesses,Guest Blog: Open and Linked data - a recipe for refreshed public services and better businesses.,blog,public services,business,linked data,,,,
526196f8c0c715e815004319,article,st-martins-students-their-data-mash,St Martins Students on Their Data Mash-Up,blog,education,hackathons,,,,,
526196f8c0c715e81500431b,article,guest-blog-why-being-uk-based-matters-open-data-industry-emerges,Guest Blog: Why being UK-based matters as an open data industry emerges,blog,UK,business,,,,,
526196f8c0c715e81500431d,article,inspiration-personal-data-odi-s-midata-hackathon,Inspiration From Personal Data at The ODIâs MiData Hackathon,events,hackathons,personal data,,,,,
526196f8c0c715e81500431f,article,guest-blog-lessons-commercialising-open-data-placr,Guest Blog: Lessons from commercialising open data at Placr,blog,start-ups,placr,business,,,,
526196f8c0c715e815004323,article,branding,Branding and Images,brand,odi,,,,,,
526196f8c0c715e815004325,article,guest-blog-geolytix-open-data-business-model,Guest Blog: GeoLytix - an open data business model,blog,geolytix,business,geo data,,,,
526196f8c0c715e815004327,article,curatorial-statement,Curatorial Statement,data as culture,art,,,,,,
526196f8c0c715e815004329,article,guest-blog-public-sector-data-needs-its-own-national-information-framework,Guest Blog: Public sector data needs its own National Information Framework,blog,public sector,national information framework,visions,,,,
526196f8c0c715e81500432b,article,how-will-open-data-affect-me,How will open data affect me?,blog,open data,,,,,,
526196f8c0c715e81500446b,article,new-initiatives-combat-crime-open-data-0,New initiatives combat crime with open data,open data challenge series,open data challenge series,crime,,,,,
54910521d0d46207f400001a,person,michalis-vafopoulos,Michalis Vafopoulos,person,writers,,,,,,
526196f8c0c715e81500432f,article,library,Library,odi,library,,,,,,
526196f8c0c715e815004331,article,about,About the ODI,odi,about,,,,,,
526196f8c0c715e815004333,article,uk-leads-demand-open-data-odi-opens-business,UK Leads Demand for Open Data as ODI Opens for Business,news,business,uk,,,,,
526196f8c0c715e815004335,article,uk-leads-world-emerging-open-data-industry-odi-opens-business,UK Leads the World in Emerging Open Data Industry as ODI Opens for Business,news,business,deloitte,uk,,,,
526196f8c0c715e815004337,article,community,Our Community,network,community,,,,,,
526196f8c0c715e815004339,article,guest-blog-data-catalyst-growth,Guest Blog: Data as a Catalyst for Growth,blog,deloitte,members,,,,,
526196f8c0c715e81500433b,article,assets,News,news,,,,,,,
526196f8c0c715e81500433d,article,space,Our Space,odi,space,,,,,,
526196f8c0c715e81500433f,article,long-held-ambition-realised-odi-opens-officially,A long-held ambition realised as the ODI opens officially,odi ,launch,,,,,,
526196f8c0c715e815004341,article,odi-signs-agreement-world-bank-ministers-herald-official-opening,ODI signs agreement with the World Bank as Ministers herald official opening,news,mou,world bank,omidyar network,,,,
526196f8c0c715e815004343,article,prescription-savings-worth-millions-identified-odi-incubated-company,Prescription Savings Worth Millions Identified by ODI incubated company,news,prescribing analytics,open data in action,mastodon c,start-ups,nhs,health,
526196f8c0c715e815004345,article,millions-pounds-prescription-savings-identified-open-data-innovative-startups,Millions of Pounds in Prescription Savings Identified in Open Data by Innovative Startups,news,prescribing analytics,open data in action,mastodon c,start-ups,nhs,health,
526196f8c0c715e815004347,article,odi-welcomes-new-investment-unlock-open-data,ODI Welcomes New Investment to Unlock Open Data,news,,,,,,,
526196f8c0c715e815004349,article,opendatachallengeseries,Open Data Challenge Series,open data challenge series,open data challenge series,,,,,,
526196f8c0c715e81500434b,article,pupil-data-should-not-be-open-data-says-odi,Pupil Data Should not be Open Data says ODI,news,national pupil database,personal data,anonymisation,,,,
526196f8c0c715e81500434d,article,11m-boost-open-data-innovation,Â£1.1m Boost for Open Data Innovation,news,start-ups,technology strategy board,,,,,
526196f8c0c715e81500434f,article,open-data-and-national-pupil-database,Open Data and the National Pupil Database,blog,national pupil database,personal data,,,,,
526196f8c0c715e815004351,article,news-open-data-institute,News from the Open Data Institute,news,odi,,,,,,
526196f8c0c715e815004353,article,guest-blog-great-prize-offer-embracing-open-data,Guest Blog: The âgreat prizeâ on offer from embracing open data,blog,,,,,,,
526196f8c0c715e815004355,article,merry-christmas-odi,Merry Christmas from the ODI,blog,christmas,fun,,,,,
526196f8c0c715e815004357,article,gains-opening-supermarket-pricing-information-should-not-be-under-estimated-says-odi,Gains from opening up supermarket pricing information âshould not be under estimatedâ says ODI,news,uk,supermarkets,business,,,,
526196f8c0c715e815004359,article,data-culture-recession-crisps-fuel-odi-staff,Data as Culture: Recession Crisps Fuel ODI Staff,blog,data as culture,art,crisps,,,,
526196f8c0c715e81500435b,article,reflections-year-highs-lows-and-moments-pride,"Reflections on a year of highs, lows and moments of pride",odi,blog,,,,,,
526196f8c0c715e81500435d,article,drafting-guide-open-data-business-cases,Drafting a Guide for Open Data Business Cases,guides,business,,,,,,
526196f8c0c715e81500435f,article,glasgow-wins-24m-boost-after-recognising-revolutionary-impact-open-data,Glasgow wins Â£24m boost after recognising the ârevolutionary impactâ of open data.,blog,glasgow,technology strategy board,smart cities,,,,
526196f8c0c715e815004361,article,tech-team-week-notes-17,Tech Team Week Notes #17,tech team,notes,blog,,,,,
526196f8c0c715e815004363,article,guest-blogopen-data-census-pac,Guest Blog:Open Data Census Pac,blog,census,geolytix,members,national statistics,,,
526196f8c0c715e815004365,article,better-living-through-openness,Better Living Through Openness,blog,tech team,,,,,,
526196f8c0c715e815004367,article,keep-paf-public,Keep PAF Public,blog,open addresses,linked data,postcode address file,geo data,,,
526196f8c0c715e815004369,article,tech-team-week-notes-18,Tech Team Week Notes #18,tech team,notes,,,,,,
526196f8c0c715e81500436b,article,what-is-data-science-really,"What is Data Science, Really?",blog,data science,statistics,,,,,
526196f8c0c715e81500436d,article,tech-team-week-notes-19,Tech Team Week Notes #19,tech team,notes,,,,,,
526196f8c0c715e81500436f,article,guest-blog-new-and-unexpected-innovation-openstreetmap-weekend,Guest Blog: New and Unexpected Innovation on OpenStreetMap Weekend,blog,openstreetmap,maps,innovation,hackathons,geo data,,
526196f8c0c715e815004371,article,guest-blog-web-was-designed-documents-it-was-not-designed-data,"Guest Blog: The Web was designed for documents, it was not designed for data",blog,html,world wide web,,,,,
526196f8c0c715e815004375,article,open-addresses-and-linked-data,Open Addresses and Linked Data,blog,open addresses,linked data,postcode address file,geo data,,,
526196f8c0c715e815004377,article,guest-blog-how-make-open-data-more-open-close-gaps,Guest Blog: How to make open data more open? Close the gaps,blog,survey,uk,public sector,,,,
526196f8c0c715e815004379,article,survey-shows-majority-uk-public-servants-recognise-importance-open-data,Survey shows majority of UK public servants recognise importance of open data,news,survey,uk,public sector,,,,
526196f8c0c715e81500437b,article,tech-team-week-notes-20,Tech Team Week Notes #20,tech team,notes,,,,,,
526196f8c0c715e81500437d,article,how-make-business-case-open-data,How to make a business case for open data,guides,business,open data,business models,,,,
526196f8c0c715e81500437f,article,revised-guide-open-data-business-cases,Revised Guide on Open Data Business Cases,blog,guides,business models,,,,,
526196f8c0c715e815004381,article,odchallengeseriesdates,Open Data Challenge Series Dates,open data challenge series,,,,,,,
526196f8c0c715e815004383,article,odchallengeserieslead,Open Data Challenge Series - Programme Lead,open data challenge series,,,,,,,
526196f8c0c715e815004385,article,odi-launches-850k-scheme-create-businesses-open-data,ODI launches Â£850k scheme to create businesses from open data,news,business,,,,,,
526196f8c0c715e815004387,article,guest-blog-taking-pain-out-moving-house,Guest blog: Taking the pain out of moving house,blog,housing,locatable,start-ups,buildings,,,
526196f8c0c715e815004389,article,tech-team-week-notes-21,Tech Team Week Notes #21,tech team,notes,,,,,,
526196f8c0c715e81500438b,article,guest-blog-honest-buildings-joins-odi-start-ups,Guest Blog: Honest Buildings joins ODI start-ups,blog,start-ups,honest buildings,buildings,,,,
526196f8c0c715e81500438d,article,odi-based-company-helps-londoners-understand-mayor-s-policing-plans,ODI-based Company Helps Londoners Understand Mayorâs Policing Plans,news,london,locatable,start-ups,housing,public policy,buildings,
526196f8c0c715e81500438f,article,odi-welcomes-fifth-start-honest-buildings-takes-residence,ODI Welcomes Fifth Start-up as Honest Buildings Takes up Residence,news,start-ups,buildings,,,,,
526196f8c0c715e815004391,article,open-workflows-open-teams,Open Workflows for Open Teams (and closed ones too),blog,tech team,github,workflow,,,,
526196f8c0c715e815004395,article,odi-ceo-joins-mayor-s-smart-london-board,"ODI CEO joins Mayorâs ""Smart London"" board",news,smart london board,london,ceo,smart cities,cities,,
526196f8c0c715e815004397,article,guest-blog-focus-45-return-investment,Guest Blog: Focus on a 4.5 return on investment,blog,business,music,start-ups,,,,
526196f8c0c715e815004399,article,guest-blog-what-white-goods-teach-us-about-open-data,Guest Blog: What white goods teach us about open data,blog,business,,,,,,
526196f8c0c715e81500439b,article,tech-team-week-notes-22,Tech Team Week Notes #22,tech team,notes,,,,,,
526196f8c0c715e81500439d,article,code-europe-odi,Code for Europe at the ODI,code for europe,events,,,,,,
526196f8c0c715e81500439f,article,guest-blog-women-data,Guest Blog: Women in Data,blog,women,,,,,,
526196f8c0c715e8150043a1,article,draft-guides-licensing,Draft guides to licensing,guides,licensing,,,,,,
526196f8c0c715e8150043a3,article,guest-blog-innovation-and-growth,Guest Blog: On innovation and growth,blog,innovation,growth,business,start-ups,technology strategy board,,
526196f8c0c715e8150043a5,article,innovating-open,Innovating in the Open,blog,innovation,,,,,,
526196f8c0c715e8150043a7,article,tech-team-week-notes-23,Tech Team Week Notes #23,tech team,notes,,,,,,
526196f8c0c715e8150043a9,article,virgin-media-and-which-join-open-data-institute-unlock-open-data-innovation,Virgin Media and Which? Join Open Data Institute to Unlock Open Data Innovation,blog,virgin media,which?,members,,,,
526196f8c0c715e8150043ab,article,new-industrialists-part-2-open-data-market-makers,The New Industrialists (Part 2): Open data market makers,blog,government,events,business,strategy,visions,,
526196f8c0c715e8150043ad,article,tech-team-week-notes-24,Tech Team Week Notes #24,tech team ,notes,,,,,,
526196f8c0c715e8150043af,article,odi-partners-manchester-future-everything-summit,ODI partners with Manchester Future Everything Summit,blog,partners,future everything,manchester,,,,
526196f8c0c715e8150043b1,article,on-data-science-with-open-data,On Data Science with Open Data,blog,data science,open data,statistics,,,,
526196f8c0c715e8150043b3,article,guest-blog-millions-be-saved-adoption-data-standards,Guest Blog: Millions to be saved by adoption of data standards,blog,standards,visions,working with open data,,,,
526196f8c0c715e8150043b5,article,tech-team-week-notes-25,Tech Team Week Notes #25,tech team,notes,,,,,,
526196f8c0c715e8150043b7,article,guest-blog-open-data-market-makers,Guest Blog: Open Data Market Makers,blog,government,business,strategy,visions,,,
526196f8c0c715e8150043b9,article,making-transparency-work-local-government,Making transparency work for Local Government,transparency,local government,leeds,,,,,
526196f8c0c715e8150043bb,article,open-data-immersion-programme-crime-and-justice-challenge-definition-day-minutes,Open Data Immersion Programme: Crime and Justice Challenge Definition Day Minutes,open data challenge series,,crime,justice,open data,,,
526196f8c0c715e8150043bd,article,open-data-five-years-time-ukgovcamp-debate,"Open data in five years' time, a UKGovCamp debate",events,uk,discussion,,,,,
526196f8c0c715e8150043c1,article,crime-and-justice-series,Crime and Justice: Open Data Challenge Series,open data challenge series,,crime,justice,open data,,,
526196f8c0c715e8150043c3,article,guest-blog-data-mixology,Guest Blog: Data mixology,blog,visions,,,,,,
526196f8c0c715e8150043c5,article,energy-and-environment-programme,Energy and the Environment Programme,open data challenge series,,energy,environment,open data,,,
526196f8c0c715e8150043c7,article,inspired-odi,Inspired by the ODI,blog,team,career,,,,,
526196f8c0c715e8150043c9,article,guest-blog-crime-under-water,Guest Blog: Crime under water,blog,crime,open data challenge series,,,,,
526196f8c0c715e8150043cb,article,tech-team-week-notes-26,Tech Team Week Notes #26,tech team,notes,,,,,,
526196f8c0c715e8150043cd,article,tech-team-week-notes-27,Tech Team Week Notes #27,tech team,notes,,,,,,
526196f8c0c715e8150043cf,article,guest-blog-open-data-blues-and-twos,Guest Blog: Open Data Blues and Twos,blog,crime,emergency services,,,,,
526196f8c0c715e8150043d1,article,ghosts-calendars-and-cucumbers,"Ghosts, Calendars and Cucumbers",tech team,notes,blog,,,,,
526196f8c0c715e8150043d3,article,odi-s-jeni-tennison-appointed-government-s-new-open-standards-board,ODIâs Jeni Tennison appointed to governmentâs new Open Standards Board,team,uk government,jeni tennison,standards,,,,
526196f8c0c715e8150043d5,article,cornerstone-open-data-postcode-address-file,A Cornerstone for Open Data: The Postcode Address File,addresses,postcode address file,geo data,blog,,,,
526196f8c0c715e8150043d7,article,paf-decision-flies-face-government-commitments-odi,"PAF decision ""flies in the face"" of government commitments - ODI",government,postcode address file,geo data,blog,,,,
526196f8c0c715e8150043d9,article,guest-blog-bingo-and-big-bang-theory-training-odi-style,"Guest Blog: Bingo and the Big Bang Theory - training ""ODI-style""",blog,training,,,,,,
526196f8c0c715e8150043db,article,odi-seeks-crime-and-justice-data-startups-ahead-blue-light-hackathons-weekend,ODI seeks crime and justice data startups ahead of  blue light hackathons this weekend,open data challenge series,crime,start-ups,,,,,
526196f8c0c715e8150043dd,article,what-do-statisticians-think-big-data,What Do Statisticians Think Of Big Data?,big data,blog,,,,,,
526196f8c0c715e8150043df,article,tech-team-week-notes-30,Tech Team Week Notes #30,tech team,notes,,,,,,
